========================================================================================================================
Leader key registrations
666081 2140 SP2HFBWV0DSN083SVHMDA7VWDQ9KRGDA99CEMTFW4
666082 47 SP4NK85F5Y3KJESRF6S4VXBSTAPE7006V5P7ZNHT
666082 407 SP105ARDW7EQTFTFMYNGMKJTA9JYFHF0FFMW9K815
666082 513 SP1K1A1PMGW2ZJCNF46NWZWHG8TS1D23EGH1KNK60
666082 514 SP137NZXD0BM4DM875ZH2HGDNPEBP6KW18RFXQ9W3
666085 155 SP1RJH1641855357CXFBF1H2WFWASXDX4DZ79QH1P
666085 254 SP334VW9T9AKDXTXNCZ4G97FBZJJ25KHN239DTAFR
666085 567 SPVE94DSPANB9CCGTETD85RXRERBE31S7X8WQDM2
666086 1360 SP3F0CDFN2PX0GQNXFV8Z0A1P95BK7XRM1PP49CS5
666086 2597 SPEGY8WPRV1E5XGRBBT1BYJPS24YSP22J9WHFBF7
666087 16 SPEGY8WPRV1E5XGRBBT1BYJPS24YSP22J9WHFBF7
666087 70 SP25Y6NQXBDDZEJEED0WG0V2077JQ49DJMBXWCZ7G
666090 2173 SPY1PP2KZ67B4SC678YFQKQPKY8Y1AP7TJS53M64
666091 39 SP2HFBWV0DSN083SVHMDA7VWDQ9KRGDA99CEMTFW4
666091 261 SPEGY8WPRV1E5XGRBBT1BYJPS24YSP22J9WHFBF7
666094 527 SP3S2MFBVWD2ANP94KQWMWH3RKN2H01TFE5H8F8VD
666095 186 SP3E13ZCYW2ZQQCFN6YEN6NXK56HNFRAY3MJ6PGB0
666096 13 SP3S9C931DEC0NZWEQBPCW6HGMN8T0TJHED5YDG5S
666099 211 SP3S9C931DEC0NZWEQBPCW6HGMN8T0TJHED5YDG5S
666099 212 SPEGY8WPRV1E5XGRBBT1BYJPS24YSP22J9WHFBF7
666100 242 SPEGY8WPRV1E5XGRBBT1BYJPS24YSP22J9WHFBF7
666101 1035 SPEGY8WPRV1E5XGRBBT1BYJPS24YSP22J9WHFBF7
666103 475 SP22B0JAF32X9H8791KNJ6HTMZ44VS9DJTX6P4FEH
666103 491 SPEGY8WPRV1E5XGRBBT1BYJPS24YSP22J9WHFBF7
666103 1736 SP3S2MFBVWD2ANP94KQWMWH3RKN2H01TFE5H8F8VD
666104 204 SP22B0JAF32X9H8791KNJ6HTMZ44VS9DJTX6P4FEH
666104 463 SPEGY8WPRV1E5XGRBBT1BYJPS24YSP22J9WHFBF7
666105 87 SP334VW9T9AKDXTXNCZ4G97FBZJJ25KHN239DTAFR
666105 792 SP29TMKVGBTPF6E5TBVMFV74T03BNFVV1CGE4V419
666107 98 SP1K1A1PMGW2ZJCNF46NWZWHG8TS1D23EGH1KNK60
666108 2252 SP29TMKVGBTPF6E5TBVMFV74T03BNFVV1CGE4V419
666108 2253 SP2KM3R83QMFV6KYXBW0NSA3RM2WYS4K9ZD08AYCF
666108 2254 SP3GHHZPXG9F5G419704RTR9DRYFT9NBJTDBE2QBG
666108 2255 SP4F3EX8B7J3J7RMTKNKSPHDSXQW1YAYSJYBXEAV
666108 2256 SP17BTD2NJYF3F4BSR196HZ6PQVCMW7YFHPEMEWMZ
666108 2257 SP29TMKVGBTPF6E5TBVMFV74T03BNFVV1CGE4V419
666108 2258 SP3S6DT27A84Y0XY1103B3F3Z0B3EBZJXCYX65MCJ
666108 2259 SP17BTD2NJYF3F4BSR196HZ6PQVCMW7YFHPEMEWMZ
666109 788 SP22B0JAF32X9H8791KNJ6HTMZ44VS9DJTX6P4FEH
666109 793 SP2H3G2XYEB30C45EHQKWD4CHDZ09T99JW3WBTENW
666109 1178 SPVE94DSPANB9CCGTETD85RXRERBE31S7X8WQDM2
666109 1179 SPVE94DSPANB9CCGTETD85RXRERBE31S7X8WQDM2
666109 1180 SP1RJH1641855357CXFBF1H2WFWASXDX4DZ79QH1P
666109 1181 SP1ZP8EG5KBS3VAQHDHG3ZHTEHXB8RFKC90SNVRTH
666109 1182 SP4F3EX8B7J3J7RMTKNKSPHDSXQW1YAYSJYBXEAV
666112 2294 SP2KM3R83QMFV6KYXBW0NSA3RM2WYS4K9ZD08AYCF
666112 2295 SP1RSNJHYTHEKMS5EJ038RAHA0MBB54K2X1AC8F45
666114 19 SP3S9C931DEC0NZWEQBPCW6HGMN8T0TJHED5YDG5S
666114 34 SPVE94DSPANB9CCGTETD85RXRERBE31S7X8WQDM2
666115 263 SP32AEEF6WW5Y0NMJ1S8SBSZDAY8R5J32NBZFPKKZ
666117 7 SP4NK85F5Y3KJESRF6S4VXBSTAPE7006V5P7ZNHT
666117 1295 SPA1NS6DQVDEB7B3HE4TKG2VCB0FPWP2NZA4XG0G
666117 1299 SP38Z0258TVXSC3ZDKRQZR08Q5AVW67B6NJV7A5SV
666118 6 SP2HFBWV0DSN083SVHMDA7VWDQ9KRGDA99CEMTFW4
666118 1005 SPVE94DSPANB9CCGTETD85RXRERBE31S7X8WQDM2
666120 836 SPA1NS6DQVDEB7B3HE4TKG2VCB0FPWP2NZA4XG0G
666124 38 SP3S9C931DEC0NZWEQBPCW6HGMN8T0TJHED5YDG5S
666125 6 SP2HFBWV0DSN083SVHMDA7VWDQ9KRGDA99CEMTFW4
666126 381 SP3GHHZPXG9F5G419704RTR9DRYFT9NBJTDBE2QBG
666127 442 SPA1NS6DQVDEB7B3HE4TKG2VCB0FPWP2NZA4XG0G
666128 38 SP2HFBWV0DSN083SVHMDA7VWDQ9KRGDA99CEMTFW4
666131 6 SP37C6HQRQ4GYP1EMEK7KW31HG7G5JNZ5ZPFQMP57
666132 930 SP1ZP8EG5KBS3VAQHDHG3ZHTEHXB8RFKC90SNVRTH
666133 7 SP37C6HQRQ4GYP1EMEK7KW31HG7G5JNZ5ZPFQMP57
666139 1801 SP2KM3R83QMFV6KYXBW0NSA3RM2WYS4K9ZD08AYCF
666141 644 SP37C6HQRQ4GYP1EMEK7KW31HG7G5JNZ5ZPFQMP57
666145 1627 SP29TMKVGBTPF6E5TBVMFV74T03BNFVV1CGE4V419
666150 487 SP1DQP455G72XG6B6X3Z0SNNGMVZ59G0JNHS1PJNT
666150 875 SP29TMKVGBTPF6E5TBVMFV74T03BNFVV1CGE4V419
666156 526 SP32AEEF6WW5Y0NMJ1S8SBSZDAY8R5J32NBZFPKKZ
666158 1381 SPEGY8WPRV1E5XGRBBT1BYJPS24YSP22J9WHFBF7
666158 1391 SPEGY8WPRV1E5XGRBBT1BYJPS24YSP22J9WHFBF7
666160 211 SP1K1A1PMGW2ZJCNF46NWZWHG8TS1D23EGH1KNK60
666160 2180 SP32AEEF6WW5Y0NMJ1S8SBSZDAY8R5J32NBZFPKKZ
666161 1039 SPVE94DSPANB9CCGTETD85RXRERBE31S7X8WQDM2
666162 2912 SPVE94DSPANB9CCGTETD85RXRERBE31S7X8WQDM2
666165 2304 SP31MADGMATTP5VXFGZKRMXHYMGF0MMCE6WWYQ1DM
666166 2190 SP3S6DT27A84Y0XY1103B3F3Z0B3EBZJXCYX65MCJ
666173 2302 SP2AFR52AV77TFY0K3XH1WHNCED352XQN6JWR012H
666182 351 SP1K1A1PMGW2ZJCNF46NWZWHG8TS1D23EGH1KNK60
666184 1033 SP3S6DT27A84Y0XY1103B3F3Z0B3EBZJXCYX65MCJ
666187 356 SP2AFR52AV77TFY0K3XH1WHNCED352XQN6JWR012H
666189 351 SP1D6NC90K648EWSHQXWN38HJAT5VEYWNN729M5BE
666192 305 SP1K1A1PMGW2ZJCNF46NWZWHG8TS1D23EGH1KNK60
666202 486 SP3M6EST4PFERKJVEKERKFXVHT1T9XFWT05CQHA0
666203 17 SP4NK85F5Y3KJESRF6S4VXBSTAPE7006V5P7ZNHT
666204 1594 SP2KM3R83QMFV6KYXBW0NSA3RM2WYS4K9ZD08AYCF
666205 47 SP137NZXD0BM4DM875ZH2HGDNPEBP6KW18RFXQ9W3
666208 42 SP137NZXD0BM4DM875ZH2HGDNPEBP6KW18RFXQ9W3
666208 1100 SP1K1A1PMGW2ZJCNF46NWZWHG8TS1D23EGH1KNK60
666209 276 SP4NK85F5Y3KJESRF6S4VXBSTAPE7006V5P7ZNHT
666215 417 SP4NK85F5Y3KJESRF6S4VXBSTAPE7006V5P7ZNHT
666216 139 SP4NK85F5Y3KJESRF6S4VXBSTAPE7006V5P7ZNHT
666216 251 SP3S9C931DEC0NZWEQBPCW6HGMN8T0TJHED5YDG5S
666219 633 SPY1PP2KZ67B4SC678YFQKQPKY8Y1AP7TJS53M64
666220 9 SP2HFBWV0DSN083SVHMDA7VWDQ9KRGDA99CEMTFW4
666221 640 SP2KM3R83QMFV6KYXBW0NSA3RM2WYS4K9ZD08AYCF
666222 1867 SP13R2WKK1FXZ3TNKF7EXR0HA8G9ZTPKMA7QSWDVX
666222 1938 SPY1PP2KZ67B4SC678YFQKQPKY8Y1AP7TJS53M64
666222 1939 SP1RSNJHYTHEKMS5EJ038RAHA0MBB54K2X1AC8F45
666223 1257 SP37C6HQRQ4GYP1EMEK7KW31HG7G5JNZ5ZPFQMP57
666231 957 SPY1PP2KZ67B4SC678YFQKQPKY8Y1AP7TJS53M64
666232 175 SP37C6HQRQ4GYP1EMEK7KW31HG7G5JNZ5ZPFQMP57
666232 2560 SP2KM3R83QMFV6KYXBW0NSA3RM2WYS4K9ZD08AYCF
666238 70 SP37C6HQRQ4GYP1EMEK7KW31HG7G5JNZ5ZPFQMP57
666246 731 SPY1PP2KZ67B4SC678YFQKQPKY8Y1AP7TJS53M64
666252 2420 SPY1PP2KZ67B4SC678YFQKQPKY8Y1AP7TJS53M64
666254 60 SP37C6HQRQ4GYP1EMEK7KW31HG7G5JNZ5ZPFQMP57
666254 2184 SPY1PP2KZ67B4SC678YFQKQPKY8Y1AP7TJS53M64
666256 1218 SPWZ6NJA8HAAXA4HG75C5JN682GCH82RRHSTHH4S
666256 1434 SPWZ6NJA8HAAXA4HG75C5JN682GCH82RRHSTHH4S
666260 696 SPWZ6NJA8HAAXA4HG75C5JN682GCH82RRHSTHH4S
666261 153 SP37C6HQRQ4GYP1EMEK7KW31HG7G5JNZ5ZPFQMP57
666274 21 SP37C6HQRQ4GYP1EMEK7KW31HG7G5JNZ5ZPFQMP57
666280 1234 SP2H3G2XYEB30C45EHQKWD4CHDZ09T99JW3WBTENW
666300 854 SPP1DJ1JE2V8HYHTRHPWD7603XHJ3F7421KBC4TE
666303 2766 SP2H3G2XYEB30C45EHQKWD4CHDZ09T99JW3WBTENW
666304 1595 SP13R2WKK1FXZ3TNKF7EXR0HA8G9ZTPKMA7QSWDVX
666311 69 SP37C6HQRQ4GYP1EMEK7KW31HG7G5JNZ5ZPFQMP57
666313 1789 SP2H3G2XYEB30C45EHQKWD4CHDZ09T99JW3WBTENW
666320 42 SP137NZXD0BM4DM875ZH2HGDNPEBP6KW18RFXQ9W3
666325 806 SP2H3G2XYEB30C45EHQKWD4CHDZ09T99JW3WBTENW
666326 1340 SP1RSNJHYTHEKMS5EJ038RAHA0MBB54K2X1AC8F45
666330 968 SP1RJH1641855357CXFBF1H2WFWASXDX4DZ79QH1P
666330 1544 SP334VW9T9AKDXTXNCZ4G97FBZJJ25KHN239DTAFR
666331 983 SP1RSNJHYTHEKMS5EJ038RAHA0MBB54K2X1AC8F45
666332 323 SP32SQ27291P1KBVGERPY1QB7T4SVNP68VPFSWZ95
666337 1039 SP3S6DT27A84Y0XY1103B3F3Z0B3EBZJXCYX65MCJ
666338 590 SP270Y0ZEBA39217XQAQF5XDH389R0D6EYXTJJCVV
666339 214 SP37C6HQRQ4GYP1EMEK7KW31HG7G5JNZ5ZPFQMP57
666346 1656 SP32SQ27291P1KBVGERPY1QB7T4SVNP68VPFSWZ95
666346 1657 SP1RSNJHYTHEKMS5EJ038RAHA0MBB54K2X1AC8F45
666349 14 SP2HFBWV0DSN083SVHMDA7VWDQ9KRGDA99CEMTFW4
666349 1894 SP1RSNJHYTHEKMS5EJ038RAHA0MBB54K2X1AC8F45
666357 1112 SP270Y0ZEBA39217XQAQF5XDH389R0D6EYXTJJCVV
666359 210 SP1RSNJHYTHEKMS5EJ038RAHA0MBB54K2X1AC8F45
666365 96 SP25Y6NQXBDDZEJEED0WG0V2077JQ49DJMBXWCZ7G
666385 428 SP4NK85F5Y3KJESRF6S4VXBSTAPE7006V5P7ZNHT
666388 45 SP3S9C931DEC0NZWEQBPCW6HGMN8T0TJHED5YDG5S
666392 24 SP1DQP455G72XG6B6X3Z0SNNGMVZ59G0JNHS1PJNT
666409 141 SP2HFBWV0DSN083SVHMDA7VWDQ9KRGDA99CEMTFW4
666409 689 SP37C6HQRQ4GYP1EMEK7KW31HG7G5JNZ5ZPFQMP57
666410 48 SP4NK85F5Y3KJESRF6S4VXBSTAPE7006V5P7ZNHT
666410 59 SP2HFBWV0DSN083SVHMDA7VWDQ9KRGDA99CEMTFW4
666411 248 SP32SQ27291P1KBVGERPY1QB7T4SVNP68VPFSWZ95
666411 1197 SP3GHHZPXG9F5G419704RTR9DRYFT9NBJTDBE2QBG
666411 1198 SP3GHHZPXG9F5G419704RTR9DRYFT9NBJTDBE2QBG
666416 233 SP4NK85F5Y3KJESRF6S4VXBSTAPE7006V5P7ZNHT
666419 49 SP37C6HQRQ4GYP1EMEK7KW31HG7G5JNZ5ZPFQMP57
666425 254 SP32SQ27291P1KBVGERPY1QB7T4SVNP68VPFSWZ95
666429 18 SP137NZXD0BM4DM875ZH2HGDNPEBP6KW18RFXQ9W3
666441 1096 SP3GHHZPXG9F5G419704RTR9DRYFT9NBJTDBE2QBG
666444 632 SP2X3CCBFRAS3HP813GHHAH86BR4QDCMS7VE2SYPX
666453 177 SP270Y0ZEBA39217XQAQF5XDH389R0D6EYXTJJCVV
666473 78 SP2HFBWV0DSN083SVHMDA7VWDQ9KRGDA99CEMTFW4
666473 738 SP1RSNJHYTHEKMS5EJ038RAHA0MBB54K2X1AC8F45
666474 125 SP2HFBWV0DSN083SVHMDA7VWDQ9KRGDA99CEMTFW4
666479 23 SP3S9C931DEC0NZWEQBPCW6HGMN8T0TJHED5YDG5S
666484 931 SP270Y0ZEBA39217XQAQF5XDH389R0D6EYXTJJCVV
666488 40 SP2HFBWV0DSN083SVHMDA7VWDQ9KRGDA99CEMTFW4
666488 411 SP1NQA8H6PF46RGKG533ZEKQDJQV6566A27V8WJFM
666492 89 SP3S9C931DEC0NZWEQBPCW6HGMN8T0TJHED5YDG5S
666502 131 SPMV9W9C1HDCTBSRKVFYGEJQ0NKKMD7Q45PF0KXR
666505 1917 SP1RSNJHYTHEKMS5EJ038RAHA0MBB54K2X1AC8F45
666508 102 SP32SQ27291P1KBVGERPY1QB7T4SVNP68VPFSWZ95
========================================================================================================================
666050 ? undefined 0 br2  s:0000000000 p:ffffffffff c:0000000000 i:55c9861be5 b:0000000000000000000a    0   
666051 ? undefined -   - - -  -    0   
666052 ? undefined -   - - -  -    0   
666053 666053 0 1 br1$ s:6b2c809627 p:0000000000 c:de4da89c4c i:918697ef63 b:00000000000000000002    20000  1> [100.0]SP105ARDW7*
666054 1 666053 2 br1$ s:43b56c6c48 p:6b2c809627 c:7a07da80fb i:ca4b40509f b:0000000000000000000d @+ 20000  2> [100.0]SP105ARDW7*
666055 1 666054 3 br1$ s:36201363ea p:43b56c6c48 c:075ea55e6c i:48edeb1555 b:00000000000000000002 @+ 20000  3> [100.0]SP105ARDW7*
666056 1 666055 -   - - -  -    20000   [100.0]SP105ARDW7*
666057 2 666055 4 br1$ s:11c5d00aa3 p:36201363ea c:88659f1f1f i:d2ffe2e8d0 b:00000000000000000003    75562  4> [26.5]SP105ARDW7*[73.5]SP37C6HQRQ 
666058 ? undefined -   - - -  -    0   
666059 2 666057 5 br1$ s:0f7f157f25 p:11c5d00aa3 c:7f42eb210f i:537b9aaa54 b:00000000000000000006    20000  5> [100.0]SP105ARDW7*
666060 ? undefined -   - - -  -    0   
666061 ? undefined -   - - -  -    0   
666062 ? undefined -   - - -  -    0   
666063 ? undefined -   - - -  -    0   
666064 5 666059 6 br1$ s:bc70fa9099 p:0f7f157f25 c:bf8d51fae9 i:02006dc91b b:00000000000000000004    20000  6> [100.0]SP105ARDW7*
666065 666065 0 -   - - -  -    85552   [23.4]SP105ARDW7 [76.6]SP37C6HQRQ*
666066 2 666064 7 br1$ s:85d41b6e95 p:bc70fa9099 c:24ac34e425 i:626507716a b:0000000000000000000a    85552  7> [23.4]SP105ARDW7*[76.6]SP37C6HQRQ 
666067 1 666066 8 br1$ s:d30ea9d823 p:85d41b6e95 c:e409554695 i:5dacf64257 b:00000000000000000006 @+ 85552  8> [23.4]SP105ARDW7*[76.6]SP37C6HQRQ 
666068 1 666067 9 br1$ s:c226b18118 p:d30ea9d823 c:c953d99040 i:7c11a95b1f b:00000000000000000009 @+ 85552  9> [23.4]SP105ARDW7*[76.6]SP37C6HQRQ 
666069 4 666065 -   - - -  -    1115552   [1.8]SP105ARDW7 [2.7]SP1D6NC90K [5.9]SP37C6HQRQ*[89.6]SP1RJH1641 
666070 ? undefined -   - - -  -    0   
666071 3 666068 10 br1$ s:ed7e944ce7 p:c226b18118 c:ca2a74cf0b i:0de9d5f3fe b:00000000000000000009    1116452  10> [1.8]SP105ARDW7*[2.7]SP1D6NC90K [6.0]SP37C6HQRQ [89.6]SP1RJH1641 
666072 4 666068 -   - - -  -    1116452   [1.8]SP105ARDW7 [2.7]SP1D6NC90K [6.0]SP37C6HQRQ [89.6]SP1RJH1641*
666073 2 666071 11 br1$ s:f60f0b54a8 p:ed7e944ce7 c:ecacb0749f i:d352ae28f9 b:0000000000000000000b    116452  11> [17.2]SP105ARDW7*[25.8]SP1D6NC90K [57.1]SP37C6HQRQ 
666074 ? undefined -   - - -  -    0   
666075 ? undefined -   - - -  -    0   
666076 3 666073 12 br1$ s:210ad1059c p:f60f0b54a8 c:0bb29a3ea8 i:f35db66c77 b:00000000000000000000    30000  12> [100.0]SP3S9C931D*
666077 1 666076 13 br1$ s:3f191fb06b p:210ad1059c c:dc4a575a2a i:95eecca159 b:0000000000000000000d @+ 30000  13> [100.0]SP3S9C931D*
666078 ? undefined -   - - -  -    0   
666079 ? undefined -   - - -  -    0   
666080 3 666077 14 br1$ s:09952299f3 p:3f191fb06b c:0e8b93b539 i:cb6de8dafd b:00000000000000000003    140000  14> [21.4]SP3S9C931D*[78.6]SP1ER0V0WX 
666081 ? undefined -   - - -  -    0   
666082 2 666080 15 br1$ s:099fa15d2f p:09952299f3 c:e3f125067f i:642b81d431 b:0000000000000000000d    140000  15> [21.4]SP3S9C931D [78.6]SP1ER0V0WX*
666083 1 666082 16 br1$ s:179380a14b p:099fa15d2f c:3e7a928aee i:dc60d84229 b:00000000000000000000 @@ 265000  16> [11.3]SP137NZXD0*[11.3]SP1D6NC90K [11.3]SP3S9C931D [41.5]SP1ER0V0WX [7.5]SP105ARDW7 [7.5]SP1K1A1PMG [9.4]SP4NK85F5Y 
666084 1 666083 17 br1$ s:9f4dd3674d p:179380a14b c:f607e77635 i:6a09df6c11 b:00000000000000000007 @@ 240000  17> [12.5]SP137NZXD0 [12.5]SP1D6NC90K [12.5]SP3S9C931D [45.8]SP1ER0V0WX*[8.3]SP105ARDW7 [8.3]SP1K1A1PMG 
666085 1 666084 18 br1$ s:4c0c4602c7 p:9f4dd3674d c:fce2542aed i:692418042a b:0000000000000000000a @@ 295000  18> [10.2]SP1D6NC90K [10.2]SP3S9C931D [20.3]SP137NZXD0 [37.3]SP1ER0V0WX [6.8]SP105ARDW7 [6.8]SP1K1A1PMG*[8.5]SP4NK85F5Y 
666086 1 666085 19 br1$ s:6778f42278 p:4c0c4602c7 c:a51c14916f i:f5cc47b471 b:00000000000000000003 @@ 810000  19> [13.6]SP1ER0V0WX*[2.5]SP105ARDW7 [2.5]SP1K1A1PMG [3.1]SP4NK85F5Y [3.7]SP1D6NC90K [3.7]SP3S9C931D [49.4]SP1RJH1641 [6.8]SPVE94DSPA [7.4]SP137NZXD0 [7.4]SP334VW9T9 
666087 7 666080 -   - - -  -    80000   [25.0]SP1NQA8H6P*[25.0]SP38Z0258T [25.0]SP3GHHZPXG [25.0]SPY1PP2KZ6 
666088 2 666086 20 br1$ s:b4a3f8b35f p:6778f42278 c:eef220ed82 i:3351c0b1b6 b:00000000000000000007    335000  20> [11.9]SP25Y6NQXB [11.9]SPEGY8WPRV [17.9]SP137NZXD0 [32.8]SP1ER0V0WX [6.0]SP1K1A1PMG [6.0]SP1NQA8H6P [6.0]SPY1PP2KZ6 [7.5]SP4NK85F5Y*
666089 ? undefined -   - - -  -    0   
666090 2 666088 21 br1$ s:5d8b019803 p:b4a3f8b35f c:1660396b37 i:e3a264b483 b:00000000000000000009    363000  21> [11.0]SP25Y6NQXB [11.0]SPEGY8WPRV [16.5]SP137NZXD0 [30.3]SP1ER0V0WX [5.0]SP3F0CDFN2 [5.5]SP1K1A1PMG [5.5]SPY1PP2KZ6 [6.9]SP4NK85F5Y*[8.3]SP3S9C931D 
666091 1 666090 22 br1$ s:6a2f492eb7 p:5d8b019803 c:8667ddaca7 i:40b8638e80 b:00000000000000000007 @+ 343000  22> [11.7]SP25Y6NQXB [11.7]SPEGY8WPRV [17.5]SP137NZXD0 [32.1]SP1ER0V0WX [5.2]SP3F0CDFN2 [5.8]SP1K1A1PMG [7.3]SP4NK85F5Y*[8.7]SP3S9C931D 
666092 1 666091 23 br1$ s:4400c78ee7 p:6a2f492eb7 c:53fbb4b6c8 i:5f4f5e51ba b:00000000000000000008 @@ 60000  23> [33.3]SP2HFBWV0D*[66.7]SPEGY8WPRV 
666093 1 666092 24 br1$ s:4c8421832b p:4400c78ee7 c:0e37ac276a i:4f105a5d6b b:00000000000000000005 @@ 270000  24> [11.1]SP137NZXD0 [11.1]SP3S9C931D [14.8]SP25Y6NQXB [40.7]SP1ER0V0WX*[7.4]SP1K1A1PMG [7.4]SP2HFBWV0D [7.4]SP3F0CDFN2 
666094 ? undefined -   - - -  -    0   
666095 2 666093 25 br1$ s:f97f4fb724 p:4c8421832b c:d44526c081 i:95ee8b6dd5 b:00000000000000000008    285000  25> [10.5]SP137NZXD0 [10.5]SP3S9C931D [14.0]SP25Y6NQXB [38.6]SP1ER0V0WX [5.3]SPY1PP2KZ6 [7.0]SP1K1A1PMG [7.0]SP2HFBWV0D*[7.0]SP3F0CDFN2 
666096 1 666095 26 br1$ s:f116758f52 p:f97f4fb724 c:3ec5bbc778 i:6f65294ddb b:00000000000000000005 @@ 300000  26> [10.0]SP137NZXD0*[13.3]SP25Y6NQXB [36.7]SP1ER0V0WX [5.0]SPY1PP2KZ6 [6.7]SP1K1A1PMG [6.7]SP2HFBWV0D [6.7]SP3E13ZCYW [6.7]SP3F0CDFN2 [8.3]SP4NK85F5Y 
666097 1 666096 27 br1$ s:4734bbcbcd p:f116758f52 c:b14e8d3fd2 i:7c7bab4c61 b:0000000000000000000b @@ 815000  27> [1.8]SPY1PP2KZ6 [13.5]SP1ER0V0WX*[2.5]SP105ARDW7 [2.5]SP1K1A1PMG [2.5]SP2HFBWV0D [2.5]SP3E13ZCYW [2.5]SP3F0CDFN2 [3.1]SP4NK85F5Y [3.7]SP137NZXD0 [4.3]SP3S9C931D [4.9]SP25Y6NQXB [49.1]SP1RJH1641 [7.4]SP334VW9T9 
666098 ? undefined -   - - -  -    0   
666099 2 666097 28 br1$ s:925695b88b p:4734bbcbcd c:642e12ff0b i:70d8cba03a b:00000000000000000003    665000  28> [16.5]SP1ER0V0WX [3.0]SP1K1A1PMG [3.0]SP3E13ZCYW [3.0]SP3F0CDFN2*[3.8]SP4NK85F5Y [4.5]SP137NZXD0 [6.0]SP25Y6NQXB [60.2]SP1RJH1641 
666100 1 666099 29 br1$ s:9807ec12f8 p:925695b88b c:ab0db7ba44 i:85ae2bc1a2 b:0000000000000000000d @@ 747000  29> [14.7]SP1ER0V0WX*[2.0]SPY1PP2KZ6 [2.3]SP3S9C931D [2.7]SP105ARDW7 [2.7]SP1K1A1PMG [2.7]SP3E13ZCYW [2.7]SP3F0CDFN2 [3.3]SPEGY8WPRV [4.0]SP137NZXD0 [4.0]SP1D6NC90K [5.4]SP25Y6NQXB [53.5]SP1RJH1641 
666101 1 666100 30 br1$ s:9ef2532b1e p:9807ec12f8 c:16419d465e i:101dc10b0f b:0000000000000000000c @@ 772000  30> [1.9]SPY1PP2KZ6 [14.2]SP1ER0V0WX [2.2]SP3S9C931D [2.6]SP105ARDW7 [2.6]SP1K1A1PMG [2.6]SP3E13ZCYW [2.6]SP3F0CDFN2 [3.9]SP137NZXD0 [3.9]SP1D6NC90K [5.2]SP25Y6NQXB [51.8]SP1RJH1641*[6.5]SPEGY8WPRV 
666102 2 666100 30 br3  s:670b86f618 p:9807ec12f8 c:3f31e65ea0 i:65549af908 b:0000000000000000000c    882000  30  [1.7]SPY1PP2KZ6 [1.9]SP3S9C931D*[11.3]SPEGY8WPRV [12.5]SP1ER0V0WX [2.3]SP105ARDW7 [2.3]SP1K1A1PMG [2.3]SP3E13ZCYW [2.3]SP3F0CDFN2 [3.4]SP137NZXD0 [3.4]SP1D6NC90K [4.5]SP25Y6NQXB [45.4]SP1RJH1641 [6.8]SP334VW9T9 
